antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'notifications_per_day', 'addicted_label'})","frozenset({'gaming_hours', 'daily_screen_time_hours', 'weekend_screen_time', 'app_opens_per_day'})",0.7077333333333333,0.9992,0.7069333333333333,0.9988696307460436,0.9996693662390349,1.0,-0.00023381333333338805,0.7077333333333014,-0.001130369253956557,0.7069333333333334,-0.4129615674454294,0.8531844817728083
frozenset({'weekend_screen_time'}),"frozenset({'app_opens_per_day', 'gaming_hours', 'daily_screen_time_hours', 'notifications_per_day', 'addicted_label'})",1.0,0.7069333333333333,0.7069333333333333,0.7069333333333333,1.0,1.0,0.0,1.0,0.0,0.7069333333333334,0.0,0.8534666666666666
frozenset({'app_opens_per_day'}),"frozenset({'weekend_screen_time', 'gaming_hours', 'daily_screen_time_hours', 'notifications_per_day', 'addicted_label'})",1.0,0.7069333333333333,0.7069333333333333,0.7069333333333333,1.0,1.0,0.0,1.0,0.0,0.7069333333333334,0.0,0.8534666666666666
frozenset({'gaming_hours'}),"frozenset({'weekend_screen_time', 'app_opens_per_day', 'daily_screen_time_hours', 'notifications_per_day', 'addicted_label'})",0.9992,0.7077333333333333,0.7069333333333333,0.707499332799573,0.9996693662390349,1.0,-0.00023381333333338805,0.9992000000000001,-0.29250066720048706,0.7069333333333334,-0.0008006405124098735,0.8531844817728083
frozenset({'daily_screen_time_hours'}),"frozenset({'weekend_screen_time', 'app_opens_per_day', 'gaming_hours', 'notifications_per_day', 'addicted_label'})",1.0,0.7069333333333333,0.7069333333333333,0.7069333333333333,1.0,1.0,0.0,1.0,0.0,0.7069333333333334,0.0,0.8534666666666666
frozenset({'notifications_per_day'}),"frozenset({'weekend_screen_time', 'app_opens_per_day', 'gaming_hours', 'daily_screen_time_hours', 'addicted_label'})",1.0,0.7069333333333333,0.7069333333333333,0.7069333333333333,1.0,1.0,0.0,1.0,0.0,0.7069333333333334,0.0,0.8534666666666666
frozenset({'addicted_label'}),"frozenset({'weekend_screen_time', 'app_opens_per_day', 'gaming_hours', 'daily_screen_time_hours', 'notifications_per_day'})",0.7077333333333333,0.9992,0.7069333333333333,0.9988696307460436,0.9996693662390349,1.0,-0.00023381333333338805,0.7077333333333014,-0.001130369253956557,0.7069333333333334,-0.4129615674454294,0.8531844817728083
"frozenset({'weekend_screen_time', 'app_opens_per_day', 'daily_screen_time_hours', 'sleep_hours', 'notifications_per_day'})",frozenset({'work_study_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'weekend_screen_time', 'app_opens_per_day', 'daily_screen_time_hours', 'sleep_hours', 'work_study_hours'})",frozenset({'notifications_per_day'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'weekend_screen_time', 'app_opens_per_day', 'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours'})",frozenset({'sleep_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'weekend_screen_time', 'app_opens_per_day', 'sleep_hours', 'notifications_per_day', 'work_study_hours'})",frozenset({'daily_screen_time_hours'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'weekend_screen_time', 'daily_screen_time_hours', 'sleep_hours', 'notifications_per_day', 'work_study_hours'})",frozenset({'app_opens_per_day'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'app_opens_per_day', 'daily_screen_time_hours', 'sleep_hours', 'notifications_per_day', 'work_study_hours'})",frozenset({'weekend_screen_time'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'sleep_hours', 'weekend_screen_time', 'app_opens_per_day'})","frozenset({'notifications_per_day', 'work_study_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'weekend_screen_time', 'app_opens_per_day'})","frozenset({'sleep_hours', 'work_study_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'work_study_hours', 'weekend_screen_time', 'app_opens_per_day'})","frozenset({'sleep_hours', 'notifications_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'notifications_per_day', 'weekend_screen_time', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'work_study_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'work_study_hours', 'weekend_screen_time', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'notifications_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'notifications_per_day', 'work_study_hours', 'weekend_screen_time', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'sleep_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours', 'weekend_screen_time'})","frozenset({'work_study_hours', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'work_study_hours', 'sleep_hours', 'weekend_screen_time'})","frozenset({'notifications_per_day', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours', 'weekend_screen_time'})","frozenset({'sleep_hours', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'notifications_per_day', 'work_study_hours', 'weekend_screen_time'})","frozenset({'daily_screen_time_hours', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours', 'app_opens_per_day'})","frozenset({'work_study_hours', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'work_study_hours', 'sleep_hours', 'app_opens_per_day'})","frozenset({'notifications_per_day', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours', 'app_opens_per_day'})","frozenset({'sleep_hours', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'notifications_per_day', 'work_study_hours', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours', 'work_study_hours'})","frozenset({'weekend_screen_time', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'weekend_screen_time', 'app_opens_per_day'})","frozenset({'sleep_hours', 'notifications_per_day', 'work_study_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'weekend_screen_time', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'notifications_per_day', 'weekend_screen_time', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'work_study_hours', 'sleep_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'work_study_hours', 'weekend_screen_time', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'sleep_hours', 'weekend_screen_time'})","frozenset({'notifications_per_day', 'work_study_hours', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'weekend_screen_time'})","frozenset({'sleep_hours', 'work_study_hours', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'work_study_hours', 'weekend_screen_time'})","frozenset({'sleep_hours', 'notifications_per_day', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'notifications_per_day', 'weekend_screen_time'})","frozenset({'daily_screen_time_hours', 'work_study_hours', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'work_study_hours', 'weekend_screen_time'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'notifications_per_day', 'work_study_hours', 'weekend_screen_time'})","frozenset({'daily_screen_time_hours', 'sleep_hours', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'sleep_hours', 'app_opens_per_day'})","frozenset({'notifications_per_day', 'work_study_hours', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'app_opens_per_day'})","frozenset({'sleep_hours', 'work_study_hours', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'work_study_hours', 'app_opens_per_day'})","frozenset({'sleep_hours', 'notifications_per_day', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'notifications_per_day', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'work_study_hours', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'work_study_hours', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'notifications_per_day', 'work_study_hours', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'sleep_hours', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours'})","frozenset({'work_study_hours', 'weekend_screen_time', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'work_study_hours', 'sleep_hours'})","frozenset({'notifications_per_day', 'weekend_screen_time', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours'})","frozenset({'sleep_hours', 'weekend_screen_time', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'notifications_per_day', 'work_study_hours'})","frozenset({'daily_screen_time_hours', 'weekend_screen_time', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'weekend_screen_time', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours', 'work_study_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'weekend_screen_time'})","frozenset({'sleep_hours', 'notifications_per_day', 'work_study_hours', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'weekend_screen_time'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'notifications_per_day', 'weekend_screen_time'})","frozenset({'daily_screen_time_hours', 'work_study_hours', 'sleep_hours', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'work_study_hours', 'weekend_screen_time'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'app_opens_per_day'})","frozenset({'sleep_hours', 'notifications_per_day', 'work_study_hours', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'notifications_per_day', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'work_study_hours', 'sleep_hours', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'work_study_hours', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours', 'weekend_screen_time'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'sleep_hours'})","frozenset({'notifications_per_day', 'work_study_hours', 'weekend_screen_time', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'notifications_per_day'})","frozenset({'sleep_hours', 'work_study_hours', 'weekend_screen_time', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'daily_screen_time_hours', 'work_study_hours'})","frozenset({'sleep_hours', 'notifications_per_day', 'weekend_screen_time', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'notifications_per_day'})","frozenset({'daily_screen_time_hours', 'work_study_hours', 'weekend_screen_time', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'sleep_hours', 'work_study_hours'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'weekend_screen_time', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'notifications_per_day', 'work_study_hours'})","frozenset({'daily_screen_time_hours', 'sleep_hours', 'weekend_screen_time', 'app_opens_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'weekend_screen_time'}),"frozenset({'app_opens_per_day', 'daily_screen_time_hours', 'sleep_hours', 'notifications_per_day', 'work_study_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'app_opens_per_day'}),"frozenset({'weekend_screen_time', 'daily_screen_time_hours', 'sleep_hours', 'notifications_per_day', 'work_study_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'daily_screen_time_hours'}),"frozenset({'weekend_screen_time', 'app_opens_per_day', 'sleep_hours', 'notifications_per_day', 'work_study_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'sleep_hours'}),"frozenset({'weekend_screen_time', 'app_opens_per_day', 'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'notifications_per_day'}),"frozenset({'weekend_screen_time', 'app_opens_per_day', 'daily_screen_time_hours', 'sleep_hours', 'work_study_hours'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'work_study_hours'}),"frozenset({'weekend_screen_time', 'app_opens_per_day', 'daily_screen_time_hours', 'sleep_hours', 'notifications_per_day'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'app_opens_per_day', 'daily_screen_time_hours', 'sleep_hours', 'notifications_per_day', 'work_study_hours'})",frozenset({'addicted_label'}),1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'app_opens_per_day', 'daily_screen_time_hours', 'sleep_hours', 'notifications_per_day', 'addicted_label'})",frozenset({'work_study_hours'}),0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'app_opens_per_day', 'daily_screen_time_hours', 'sleep_hours', 'work_study_hours', 'addicted_label'})",frozenset({'notifications_per_day'}),0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'app_opens_per_day', 'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours', 'addicted_label'})",frozenset({'sleep_hours'}),0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'app_opens_per_day', 'sleep_hours', 'notifications_per_day', 'work_study_hours', 'addicted_label'})",frozenset({'daily_screen_time_hours'}),0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'sleep_hours', 'notifications_per_day', 'work_study_hours', 'addicted_label'})",frozenset({'app_opens_per_day'}),0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours', 'app_opens_per_day'})","frozenset({'work_study_hours', 'addicted_label'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'work_study_hours', 'sleep_hours', 'app_opens_per_day'})","frozenset({'notifications_per_day', 'addicted_label'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'sleep_hours', 'addicted_label', 'app_opens_per_day'})","frozenset({'notifications_per_day', 'work_study_hours'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours', 'app_opens_per_day'})","frozenset({'sleep_hours', 'addicted_label'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'addicted_label', 'app_opens_per_day'})","frozenset({'sleep_hours', 'work_study_hours'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'work_study_hours', 'addicted_label', 'app_opens_per_day'})","frozenset({'sleep_hours', 'notifications_per_day'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'sleep_hours', 'notifications_per_day', 'work_study_hours', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'addicted_label'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'sleep_hours', 'notifications_per_day', 'addicted_label', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'work_study_hours'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'sleep_hours', 'work_study_hours', 'addicted_label', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'notifications_per_day'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'notifications_per_day', 'work_study_hours', 'addicted_label', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'sleep_hours'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours', 'work_study_hours'})","frozenset({'addicted_label', 'app_opens_per_day'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours', 'addicted_label'})","frozenset({'work_study_hours', 'app_opens_per_day'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'work_study_hours', 'sleep_hours', 'addicted_label'})","frozenset({'notifications_per_day', 'app_opens_per_day'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours', 'addicted_label'})","frozenset({'sleep_hours', 'app_opens_per_day'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'sleep_hours', 'notifications_per_day', 'work_study_hours', 'addicted_label'})","frozenset({'daily_screen_time_hours', 'app_opens_per_day'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'sleep_hours', 'app_opens_per_day'})","frozenset({'notifications_per_day', 'work_study_hours', 'addicted_label'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'app_opens_per_day'})","frozenset({'sleep_hours', 'work_study_hours', 'addicted_label'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'work_study_hours', 'app_opens_per_day'})","frozenset({'sleep_hours', 'notifications_per_day', 'addicted_label'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'addicted_label', 'app_opens_per_day'})","frozenset({'sleep_hours', 'notifications_per_day', 'work_study_hours'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'sleep_hours', 'notifications_per_day', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'work_study_hours', 'addicted_label'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'sleep_hours', 'work_study_hours', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'addicted_label'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'sleep_hours', 'addicted_label', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'notifications_per_day', 'work_study_hours', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'sleep_hours', 'addicted_label'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'notifications_per_day', 'addicted_label', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'work_study_hours', 'sleep_hours'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'work_study_hours', 'addicted_label', 'app_opens_per_day'})","frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'sleep_hours'})","frozenset({'work_study_hours', 'addicted_label', 'app_opens_per_day'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'work_study_hours', 'sleep_hours'})","frozenset({'notifications_per_day', 'addicted_label', 'app_opens_per_day'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'sleep_hours', 'addicted_label'})","frozenset({'notifications_per_day', 'work_study_hours', 'app_opens_per_day'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'work_study_hours'})","frozenset({'sleep_hours', 'addicted_label', 'app_opens_per_day'})",1.0,0.7077333333333333,0.7077333333333333,0.7077333333333333,1.0,1.0,0.0,1.0,0.0,0.7077333333333333,0.0,0.8538666666666667
"frozenset({'daily_screen_time_hours', 'notifications_per_day', 'addicted_label'})","frozenset({'sleep_hours', 'work_study_hours', 'app_opens_per_day'})",0.7077333333333333,1.0,0.7077333333333333,1.0,1.0,1.0,0.0,inf,0.0,0.7077333333333333,0.0,0.8538666666666667
